"","RNAi.well","ORF","GeneID","public.name","gene.other.ids","Nonv","Vpep","Simmer"
"10001@A01","GHR-10001@A1","F32D8.6","WBGene00001303","emo-1","F32D8.6, emo-1, oar-1, CELE_F32D8.6",NA,NA,NA
"10001@A02","GHR-10001@A2","C34B2.10","WBGene00016395",NA,"C34B2.10, phi-56, CELE_C34B2.10",NA,NA,NA
"10001@A04","GHR-10001@A4","F53A3.3","WBGene00004491","rps-22","F53A3.3, rps-22, CELE_F53A3.3",NA,NA,NA
"10001@A06","GHR-10001@A6","W08E3.1","WBGene00004915","snr-2","W08E3.1, snr-2, CELE_W08E3.1",NA,NA,NA
"10001@A07","GHR-10001@A7","F46A9.5","WBGene00004807","skr-1","F46A9.5, skr-1, CELE_F46A9.5",NA,NA,NA
"10001@A08","GHR-10001@A8","T19B4.3","WBGene00020557",NA,"T19B4.3, 1G247, CELE_T19B4.3",NA,NA,NA
"10001@A09","GHR-10001@A9","Y65B4BR.5","WBGene00022042","icd-2","Y65B4BR.5, icd-2, CELE_Y65B4BR.5",NA,NA,NA
"10001@A10","GHR-10001@A10","F47G9.1","WBGene00009829",NA,"F47G9.1, CELE_F47G9.1",NA,NA,NA
"10001@A11","GHR-10001@A11","K01G5.4","WBGene00004302","ran-1","K01G5.4, ran-1, CELE_K01G5.4",NA,NA,NA
"10001@B02","GHR-10001@B2","T10H9.4","WBGene00004897","snb-1","T10H9.4, snb-1, VAMP/1, sup-8, CELE_T10H9.4",NA,"Unc/Slu","Unc/Slu"
"10001@B03","GHR-10001@B3","C32D5.9","WBGene00002980","lgg-1","C32D5.9, lgg-1, 2G636, atg-8.1, CELE_C32D5.9",NA,NA,NA
"10001@B05","GHR-10001@B5","F52B5.6","WBGene00004439","rpl-25.2","F52B5.6, rpl-25.2, CELE_F52B5.6",NA,NA,NA
"10001@B06","GHR-10001@B6","C56C10.8","WBGene00002045","icd-1","C56C10.8, icd-1, CELE_C56C10.8",NA,NA,NA
"10001@B08","GHR-10001@B8","C27B7.8","WBGene00004307","rap-1","C27B7.8, rap-1, rrp-1, CELE_C27B7.8",NA,NA,NA
"10001@B09","GHR-10001@B9","T22F3.4","WBGene00004422","rpl-11.1","T22F3.4, rpl-11.1, nog-1, CELE_T22F3.4",NA,NA,NA
"10001@B10","GHR-10001@B10","C35B1.1","WBGene00006701","ubc-1","C35B1.1, ubc-1, CELE_C35B1.1",NA,NA,NA
"10001@B11","GHR-10001@B11","K08D10.3","WBGene00004386","rnp-3","K08D10.3, rnp-3, CELE_K08D10.3",NA,NA,NA
"10001@C01","GHR-10001@C1","R09B3.2","WBGene00011155",NA,"R09B3.2, CELE_R09B3.2",NA,NA,NA
"10001@C02","GHR-10001@C2","W10D9.5","WBGene00021133","tomm-22","W10D9.5, tomm-22, CELE_W10D9.5",NA,NA,NA
"10001@C04","GHR-10001@C4","C37A2.7","WBGene00016493",NA,"C37A2.7, CELE_C37A2.7",NA,NA,NA
"10001@C06","GHR-10001@C6","F32H2.2","WBGene00007026","mdt-31","F32H2.2, mdt-31, CELE_F32H2.2",NA,NA,NA
"10001@C07","GHR-10001@C7","F42F12.4","WBGene00009636",NA,"F42F12.4, CELE_F42F12.4",NA,NA,NA
"10001@C08","GHR-10001@C8","F23H12.2","WBGene00009092","tomm-20","F23H12.2, tomm-20, CELE_F23H12.2",NA,NA,NA
"10001@C10","GHR-10001@C10","C39F7.4","WBGene00004266","rab-1","C39F7.4, rab-1, CELE_C39F7.4",NA,NA,NA
"10001@C11","GHR-10001@C11","T13C5.4","WBGene00020485","ceh-54","T13C5.4, ceh-54, CELE_T13C5.4",NA,NA,NA
"10001@D01","GHR-10001@D1","ZK652.1","WBGene00004918","snr-5","ZK652.1, snr-5, CELE_ZK652.1",NA,NA,NA
"10001@D03","GHR-10001@D3","T13F2.2","WBGene00011743",NA,"T13F2.2, CELE_T13F2.2",NA,NA,NA
"10001@D04","GHR-10001@D4","F45E1.6","WBGene00001945","his-71","F45E1.6, his-71, CELE_F45E1.6",NA,NA,NA
"10001@D06","GHR-10001@D6","F58A4.10","WBGene00006704","ubc-7","F58A4.10, ubc-7, CELE_F58A4.10",NA,NA,NA
"10001@D07","GHR-10001@D7","E04A4.5","WBGene00017119",NA,"E04A4.5, CELE_E04A4.5",NA,NA,NA
"10001@D08","GHR-10001@D8","F46H6.1","WBGene00004356","rhi-1","F46H6.1, rhi-1, CELE_F46H6.1",NA,NA,NA
"10001@D09","GHR-10001@D9","F15H10.3","WBGene00000144","apc-10","F15H10.3, apc-10, CELE_F15H10.3",NA,NA,NA
"10001@D10","GHR-10001@D10","R12E2.13","WBGene00020038",NA,"R12E2.13, CELE_R12E2.13",NA,NA,NA
"10001@D11","GHR-10001@D11","F36D4.2","WBGene00018088","trpp-4","F36D4.2, trpp-4, CELE_F36D4.2",NA,NA,NA
"10001@E01","GHR-10001@E1","Y49E10.15","WBGene00004919","snr-6","Y49E10.15, snr-6, CELE_Y49E10.15",NA,NA,NA
"10001@E04","GHR-10001@E4","C06A1.5","WBGene00007355","rpb-6","C06A1.5, rpb-6, CELE_C06A1.5",NA,NA,NA
"10001@E05","GHR-10001@E5","Y77E11A.13","WBGene00003806","npp-20","Y77E11A.13, npp-20, CeSec13R, Y77E11A_3670.c, CELE_Y77E11A.13",NA,NA,NA
"10001@E06","GHR-10001@E6","F29B9.6","WBGene00006706","ubc-9","F29B9.6, ubc-9, CELE_F29B9.6","Emb, Ste","Sck","Emb, Ste, Sck"
"10001@E07","GHR-10001@E7","ZK1098.5","WBGene00014222","trpp-3","ZK1098.5, trpp-3, CELE_ZK1098.5",NA,NA,NA
"10001@E08","GHR-10001@E8","R07G3.1","WBGene00000390","cdc-42","R07G3.1, cdc-42, CELE_R07G3.1","Emb/Ste",NA,"Emb/Ste"
"10001@E09","GHR-10001@E9","F22B5.1","WBGene00001358","evl-20","F22B5.1, evl-20, arl-5, arl-2, ARF/2, arf-2, CELE_F22B5.1",NA,NA,"Ste"
"10001@E10","GHR-10001@E10","F53G12.1","WBGene00004274","rab-11.1","F53G12.1, rab-11.1, CELE_F53G12.1",NA,NA,NA
"10001@E11","GHR-10001@E11","R07B1.1","WBGene00006881","vab-15","R07B1.1, vab-15, CELE_R07B1.1","wk Emb","Bmd","Bmd"
"10001@F02","GHR-10001@F2","F54C4.2","WBGene00005014","spt-4","F54C4.2, spt-4, CELE_F54C4.2",NA,NA,NA
"10001@F03","GHR-10001@F3","F40F8.9","WBGene00003076","lsm-1","F40F8.9, lsm-1, CELE_F40F8.9",NA,NA,NA
"10001@F06","GHR-10001@F6","T22C8.5","WBGene00011926","sptf-2","T22C8.5, sptf-2, CELE_T22C8.5",NA,NA,NA
"10001@F07","GHR-10001@F7","K07H8.3","WBGene00000923","daf-31","K07H8.3, daf-31, CELE_K07H8.3",NA,NA,NA
"10001@F08","GHR-10001@F8","C09G12.8","WBGene00000424","ced-10","C09G12.8, ced-10, rac1, CELE_C09G12.8",NA,NA,NA
"10001@F09","GHR-10001@F9","T23H2.5","WBGene00004273","rab-10","T23H2.5, rab-10, gum-1, CELE_T23H2.5",NA,NA,NA
"10001@F10","GHR-10001@F10","M04B2.3","WBGene00001585","gfl-1","M04B2.3, gfl-1, CELE_M04B2.3",NA,NA,NA
"10001@F11","GHR-10001@F11","F53F4.3","WBGene00009987","tbcb-1","F53F4.3, tbcb-1, CELE_F53F4.3",NA,NA,NA
"10001@G01","GHR-10001@G1","F54E12.3","WBGene00001930","his-56","F54E12.3, his-56, CELE_F54E12.3",NA,NA,NA
"10001@G02","GHR-10001@G2","ZK970.4","WBGene00006918","vha-9","ZK970.4, vha-9, CELE_ZK970.4",NA,NA,NA
"10001@G03","GHR-10001@G3","K03E6.6","WBGene00003991","pfn-3","K03E6.6, pfn-3, CELE_K03E6.6",NA,NA,NA
"10001@G05","GHR-10001@G5","F26A3.2","WBGene00009141","ncbp-2","F26A3.2, ncbp-2, CELE_F26A3.2",NA,NA,NA
"10001@G06","GHR-10001@G6","Y75B12B.5","WBGene00000879","cyn-3","Y75B12B.5, cyn-3, cyp-3, CELE_Y75B12B.5",NA,NA,NA
"10001@G07","GHR-10001@G7","Y54E10BR.5","WBGene00021844",NA,"Y54E10BR.5, Y54E10BR.d, CELE_Y54E10BR.5",NA,NA,NA
"10001@G08","GHR-10001@G8","ZK180.4","WBGene00022678","sar-1","ZK180.4, sar-1, CELE_ZK180.4",NA,NA,NA
"10001@G10","GHR-10001@G10","F10B5.1","WBGene00004421","rpl-10","F10B5.1, rpl-10, CELE_F10B5.1",NA,NA,NA
"10001@H01","GHR-10001@H1","C09H10.2","WBGene00004454","rpl-36.A","C09H10.2, rpl-36.A, 2L388, rpl-41, CELE_C09H10.2",NA,NA,NA
"10001@H02","GHR-10001@H2","W01G7.3","WBGene00012187","rpb-11","W01G7.3, rpb-11, CELE_W01G7.3",NA,NA,NA
"10001@H03","GHR-10001@H3","T28D9.10","WBGene00004916","snr-3","T28D9.10, snr-3, CELE_T28D9.10",NA,NA,NA
"10001@H04","GHR-10001@H4","W05H7.3","WBGene00021046","sedl-1","W05H7.3, sedl-1, CELE_W05H7.3",NA,NA,NA
"10001@H05","GHR-10001@H5","H21P03.1","WBGene00003148","mbf-1","H21P03.1, mbf-1, CELE_H21P03.1",NA,NA,NA
"10001@H06","GHR-10001@H6","ZC395.10","WBGene00022599",NA,"ZC395.10, CELE_ZC395.10",NA,NA,NA
"10001@H07","GHR-10001@H7","F53A2.5","WBGene00001092","dro-1","F53A2.5, dro-1, CELE_F53A2.5",NA,NA,NA
"10001@H09","GHR-10001@H9","W02D7.7","WBGene00004766","sel-9","W02D7.7, sel-9, CELE_W02D7.7",NA,"Dpy, Unc, Rol, Egl","Dpy, Unc, Rol, Egl"
"10001@H10","GHR-10001@H10","F55A4.1","WBGene00018853","sec-22","F55A4.1, sec-22, CELE_F55A4.1",NA,NA,NA
"10001@H11","GHR-10001@H11","Y106G6H.14","WBGene00013724",NA,"Y106G6H.14, CELE_Y106G6H.14",NA,NA,NA
"10002@A02","GHR-10002@A2","K04G2.1","WBGene00010560","iftb-1","K04G2.1, iftb-1, phi-17, CELE_K04G2.1",NA,NA,NA
"10002@A03","GHR-10002@A3","ZK337.2","WBGene00013970","klu-1","ZK337.2, klu-1, CELE_ZK337.2",NA,NA,NA
"10002@A04","GHR-10002@A4","K05C4.1","WBGene00003951","pbs-5","K05C4.1, pbs-5, CELE_K05C4.1",NA,NA,NA
"10002@A05","GHR-10002@A5","C18E9.6","WBGene00007686","tomm-40","C18E9.6, tomm-40, CELE_C18E9.6",NA,NA,NA
"10002@A07","GHR-10002@A7","B0280.1","WBGene00015099","ggtb-1","B0280.1, ggtb-1, CELE_B0280.1",NA,NA,NA
"10002@A08","GHR-10002@A8","T05G5.3","WBGene00000405","cdk-1","T05G5.3, cdk-1, ncc-1, CELE_T05G5.3",NA,NA,NA
"10002@A09","GHR-10002@A9","F20H11.3","WBGene00003162","mdh-2","F20H11.3, mdh-2, mdh-1, CELE_F20H11.3",NA,NA,NA
"10002@A10","GHR-10002@A10","D2063.1","WBGene00017060",NA,"D2063.1, D2063.e, CELE_D2063.1",NA,NA,NA
"10002@A11","GHR-10002@A11","C36F7.1","WBGene00007984","irx-1","C36F7.1, irx-1, CELE_C36F7.1",NA,NA,NA
"10002@B01","GHR-10002@B1","F25H9.6","WBGene00009138",NA,"F25H9.6, CELE_F25H9.6",NA,NA,NA
"10002@B02","GHR-10002@B2","H20J04.8","WBGene00003390","mog-2","H20J04.8, mog-2, sap-1, tag-247, CELE_H20J04.8",NA,NA,NA
"10002@B03","GHR-10002@B3","C10A4.8","WBGene00003380","mnm-2","C10A4.8, mnm-2, CELE_C10A4.8",NA,NA,NA
"10002@B04","GHR-10002@B4","F56A8.7","WBGene00006798","unc-64","F56A8.7, unc-64, syx-1, CELE_F56A8.7",NA,NA,NA
"10002@B05","GHR-10002@B5","ZK1098.4","WBGene00014221",NA,"ZK1098.4, CELE_ZK1098.4",NA,NA,NA
"10002@B06","GHR-10002@B6","D2096.8","WBGene00017075","nap-1","D2096.8, nap-1, nsbp-1, CELE_D2096.8",NA,NA,NA
"10002@B07","GHR-10002@B7","T09A5.9","WBGene00011637","sds-22","T09A5.9, sds-22, CELE_T09A5.9",NA,NA,NA
"10002@B08","GHR-10002@B8","F56C9.1","WBGene00001748","gsp-2","F56C9.1, gsp-2, glc-7, Ce-glc-7beta, CELE_F56C9.1",NA,NA,NA
"10002@B09","GHR-10002@B9","C56C10.10","WBGene00016966",NA,"C56C10.10, CELE_C56C10.10",NA,NA,NA
"10002@C01","GHR-10002@C1","R186.3","WBGene00011306",NA,"R186.3, CELE_R186.3",NA,NA,NA
"10002@C03","GHR-10002@C3","F53B7.3","WBGene00009966",NA,"F53B7.3, CELE_F53B7.3",NA,NA,NA
"10002@C04","GHR-10002@C4","ZK381.1","WBGene00001862","him-3","ZK381.1, him-3, CELE_ZK381.1","wk Emb","Him","wk Emb, Him"
"10002@C06","GHR-10002@C6","ZK792.3","WBGene00002131","inx-9","ZK792.3, inx-9, opu-9, CELE_ZK792.3",NA,NA,NA
"10002@C07","GHR-10002@C7","D1081.2","WBGene00006844","unc-120","D1081.2, unc-120, CELE_D1081.2",NA,NA,NA
"10002@C09","GHR-10002@C9","F19B6.2","WBGene00006733","ufd-1","F19B6.2, ufd-1, CELE_F19B6.2",NA,NA,NA
"10002@C11","GHR-10002@C11","Y119D3B.17","WBGene00003978","pes-4","Y119D3B.17, pes-4, Y119D3_447.a, CELE_Y119D3B.17",NA,NA,NA
"10002@D01","GHR-10002@D1","F15D3.7","WBGene00008857","timm-23","F15D3.7, timm-23, CELE_F15D3.7",NA,NA,NA
"10002@D02","GHR-10002@D2","F55H2.2","WBGene00010130","vha-14","F55H2.2, vha-14, CELE_F55H2.2",NA,NA,NA
"10002@D03","GHR-10002@D3","F55F3.1","WBGene00010115","aakb-1","F55F3.1, aakb-1, CELE_F55F3.1",NA,NA,NA
"10002@D05","GHR-10002@D5","D1022.1","WBGene00006703","ubc-6","D1022.1, ubc-6, CELE_D1022.1",NA,NA,NA
"10002@D06","GHR-10002@D6","CC8.2","WBGene00016987",NA,"CC8.2, CC8.a, CELE_CC8.2",NA,NA,NA
"10002@D07","GHR-10002@D7","F39B2.3","WBGene00009554",NA,"F39B2.3, CELE_F39B2.3",NA,NA,NA
"10002@D08","GHR-10002@D8","F56A8.6","WBGene00000774","cpf-2","F56A8.6, cpf-2, CELE_F56A8.6",NA,NA,NA
"10002@D09","GHR-10002@D9","C08B6.9","WBGene00000142","aos-1","C08B6.9, aos-1, CELE_C08B6.9",NA,NA,NA
"10002@D11","GHR-10002@D11","F38E9.5","WBGene00018187",NA,"F38E9.5, CELE_F38E9.5",NA,NA,NA
"10002@E02","GHR-10002@E2","K01A2.10","WBGene00019284",NA,"K01A2.10, CELE_K01A2.10",NA,NA,NA
"10002@E03","GHR-10002@E3","F43G9.11","WBGene00000468","ces-1","F43G9.11, ces-1, CELE_F43G9.11",NA,NA,NA
"10002@E04","GHR-10002@E4","W09C3.4","WBGene00021112",NA,"W09C3.4, CELE_W09C3.4",NA,NA,NA
"10002@E05","GHR-10002@E5","T27D1.1","WBGene00000885","cyn-9","T27D1.1, cyn-9, cyp-9, CELE_T27D1.1",NA,NA,NA
"10002@E06","GHR-10002@E6","F38H4.9","WBGene00002363","let-92","F38H4.9, let-92, CELE_F38H4.9",NA,NA,NA
"10002@E07","GHR-10002@E7","K04G7.10","WBGene00004390","rnp-7","K04G7.10, rnp-7, CELE_K04G7.10",NA,NA,NA
"10002@E08","GHR-10002@E8","W10D5.1","WBGene00003182","mef-2","W10D5.1, mef-2, CELE_W10D5.1",NA,NA,NA
"10002@E11","GHR-10002@E11","ZC581.1","WBGene00022631","nekl-2","ZC581.1, nekl-2, phi-35, CELE_ZC581.1",NA,NA,NA
"10002@F01","GHR-10002@F1","B0348.6","WBGene00002061","ife-3","B0348.6, ife-3, CELE_B0348.6",NA,NA,NA
"10002@F03","GHR-10002@F3","Y47D3A.15","WBGene00012928","aakb-2","Y47D3A.15, aakb-2, CELE_Y47D3A.15",NA,NA,NA
"10002@F05","GHR-10002@F5","Y56A3A.20","WBGene00000369","ccf-1","Y56A3A.20, ccf-1, CELE_Y56A3A.20",NA,NA,NA
"10002@F07","GHR-10002@F7","R02D3.5","WBGene00019823","fnta-1","R02D3.5, fnta-1, CELE_R02D3.5",NA,NA,NA
"10002@F09","GHR-10002@F9","F48D6.1","WBGene00006393","taf-11.1","F48D6.1, taf-11.1, CELE_F48D6.1",NA,NA,NA
"10002@F10","GHR-10002@F10","Y49A3A.2","WBGene00013025","vha-13","Y49A3A.2, vha-13, phi-51, Y49A3A.b, CELE_Y49A3A.2",NA,NA,NA
"10002@F11","GHR-10002@F11","B0205.7","WBGene00002191","kin-3","B0205.7, kin-3, CELE_B0205.7",NA,NA,NA
"10002@G01","GHR-10002@G1","F52D10.3","WBGene00001502","ftt-2","F52D10.3, ftt-2, CELE_F52D10.3",NA,NA,NA
"10002@G03","GHR-10002@G3","C47B2.4","WBGene00003948","pbs-2","C47B2.4, pbs-2, CELE_C47B2.4",NA,NA,NA
"10002@G04","GHR-10002@G4","Y47G6A.6","WBGene00021636","pcaf-1","Y47G6A.6, pcaf-1, Y47G6A_241.b, CELE_Y47G6A.6",NA,NA,NA
"10002@G05","GHR-10002@G5","F25H2.10","WBGene00004408","rla-0","F25H2.10, rla-0, rpa-0, CELE_F25H2.10",NA,NA,NA
"10002@G09","GHR-10002@G9","F20C5.6","WBGene00008971",NA,"F20C5.6, CELE_F20C5.6",NA,NA,NA
"10002@G11","GHR-10002@G11","ZC168.4","WBGene00000865","cyb-1","ZC168.4, cyb-1, CELE_ZC168.4",NA,NA,NA
"10002@H03","GHR-10002@H3","K02D10.5","WBGene00019305","snap-29","K02D10.5, snap-29, phi-28, CELE_K02D10.5",NA,NA,NA
"10002@H04","GHR-10002@H4","VW02B12L.3","WBGene00012156","ebp-2","VW02B12L.3, ebp-2, CELE_VW02B12L.3",NA,NA,NA
"10002@H05","GHR-10002@H5","W02A11.1","WBGene00012192",NA,"W02A11.1, CELE_W02A11.1",NA,NA,NA
"10002@H06","GHR-10002@H6","Y22D7AR.6","WBGene00021260",NA,"Y22D7AR.6, Y119D3_465.o, CELE_Y22D7AR.6",NA,NA,NA
"10002@H07","GHR-10002@H7","Y43E12A.1","WBGene00000866","cyb-2.1","Y43E12A.1, cyb-2.1, CELE_Y43E12A.1",NA,NA,NA
"10002@H08","GHR-10002@H8","C03C10.1","WBGene00002202","kin-19","C03C10.1, kin-19, CELE_C03C10.1",NA,NA,NA
"10002@H09","GHR-10002@H9","T23F11.1","WBGene00011953","ppm-2","T23F11.1, ppm-2, CELE_T23F11.1",NA,NA,NA
"10002@H10","GHR-10002@H10","F29F11.6","WBGene00001747","gsp-1","F29F11.6, gsp-1, Ce-glc-7alpha, glc-7, CELE_F29F11.6",NA,NA,NA
"10003@A01","GHR-10003@A1","Y18D10A.5","WBGene00001746","gsk-3","Y18D10A.5, gsk-3, sgg-1, Y18D10A.f, CELE_Y18D10A.5","Emb",NA,"Emb"
"10003@A02","GHR-10003@A2","B0218.3","WBGene00004055","pmk-1","B0218.3, pmk-1, CELE_B0218.3",NA,NA,NA
"10003@A03","GHR-10003@A3","Y47G6A.8","WBGene00000794","crn-1","Y47G6A.8, crn-1, CELE_Y47G6A.8",NA,NA,NA
"10003@A04","GHR-10003@A4","Y49F6B.1","WBGene00021714","cyh-1","Y49F6B.1, cyh-1, Y49F6B_108.i, CELE_Y49F6B.1",NA,NA,NA
"10003@A06","GHR-10003@A6","K07A1.12","WBGene00003036","lin-53","K07A1.12, lin-53, rba-2, CELE_K07A1.12",NA,NA,NA
"10003@A07","GHR-10003@A7","W02A11.4","WBGene00006700","uba-2","W02A11.4, uba-2, CELE_W02A11.4",NA,NA,NA
"10003@A08","GHR-10003@A8","T05H4.6","WBGene00020269","erfa-1","T05H4.6, erfa-1, phi-21, etf-1, CELE_T05H4.6",NA,NA,NA
"10003@A09","GHR-10003@A9","W02F12.5","WBGene00020950","dlst-1","W02F12.5, dlst-1, CELE_W02F12.5",NA,NA,NA
"10003@A10","GHR-10003@A10","T23G11.3","WBGene00001595","gld-1","T23G11.3, gld-1, CELE_T23G11.3","Ste",NA,"Ste"
"10003@B01","GHR-10003@B1","C44H4.6","WBGene00008095",NA,"C44H4.6, CELE_C44H4.6",NA,NA,NA
"10003@B03","GHR-10003@B3","T06E6.2","WBGene00000868","cyb-3","T06E6.2, cyb-3, cyb-2, CELE_T06E6.2",NA,NA,NA
"10003@B04","GHR-10003@B4","F23B12.6","WBGene00006465","fntb-1","F23B12.6, fntb-1, tag-114, CELE_F23B12.6",NA,NA,NA
"10003@B05","GHR-10003@B5","R05H10.2","WBGene00011043","rbm-28","R05H10.2, rbm-28, CELE_R05H10.2",NA,NA,NA
"10003@B07","GHR-10003@B7","T02C12.3","WBGene00011368","tftc-5","T02C12.3, tftc-5, CELE_T02C12.3",NA,NA,NA
"10003@B08","GHR-10003@B8","B0272.1","WBGene00006538","tbb-4","B0272.1, tbb-4, CELE_B0272.1",NA,NA,NA
"10003@B10","GHR-10003@B10","LLC1.3","WBGene00010794","dld-1","LLC1.3, dld-1, CELE_LLC1.3",NA,NA,NA
"10003@B11","GHR-10003@B11","K07C5.4","WBGene00010627",NA,"K07C5.4, CELE_K07C5.4",NA,NA,NA
"10003@C04","GHR-10003@C4","C47D12.8","WBGene00008140","xpf-1","C47D12.8, xpf-1, him-9, CELE_C47D12.8",NA,NA,NA
"10003@C06","GHR-10003@C6","K02B12.7","WBGene00010500",NA,"K02B12.7, CELE_K02B12.7",NA,NA,NA
"10003@C07","GHR-10003@C7","W02D9.1","WBGene00004181","pri-2","W02D9.1, pri-2, CELE_W02D9.1","Emb",NA,"Emb"
"10003@C08","GHR-10003@C8","B0286.4","WBGene00003825","ntl-2","B0286.4, ntl-2, CELE_B0286.4",NA,NA,NA
"10003@C11","GHR-10003@C11","W01B11.3","WBGene00020915","nol-5","W01B11.3, nol-5, CELE_W01B11.3",NA,NA,NA
"10003@D01","GHR-10003@D1","F10G8.3","WBGene00003803","rae-1","F10G8.3, rae-1, CeRAE1, npp-17, CELE_F10G8.3",NA,NA,NA
"10003@D02","GHR-10003@D2","C17G10.2","WBGene00015916",NA,"C17G10.2, CELE_C17G10.2",NA,NA,NA
"10003@D05","GHR-10003@D5","C47E12.7","WBGene00008151",NA,"C47E12.7, CELE_C47E12.7",NA,NA,NA
"10003@D06","GHR-10003@D6","T09B4.9","WBGene00020383","tin-44","T09B4.9, tin-44, let-602, CELE_T09B4.9",NA,NA,NA
"10003@D07","GHR-10003@D7","C52E4.4","WBGene00004501","rpt-1","C52E4.4, rpt-1, CELE_C52E4.4",NA,NA,NA
"10003@D08","GHR-10003@D8","ZK430.7","WBGene00022742",NA,"ZK430.7, CELE_ZK430.7",NA,NA,NA
"10003@D09","GHR-10003@D9","W09C5.2","WBGene00006793","unc-59","W09C5.2, unc-59, unc-88, CELE_W09C5.2",NA,"Egl, Rup, Pvl","Egl, Rup, Pvl, Thin"
"10003@D10","GHR-10003@D10","C05D9.1","WBGene00004927","snx-1","C05D9.1, snx-1, vps-5, CELE_C05D9.1",NA,NA,NA
"10003@D11","GHR-10003@D11","F20B6.2","WBGene00006921","vha-12","F20B6.2, vha-12, CELE_F20B6.2",NA,NA,NA
"10003@E01","GHR-10003@E1","F43G9.1","WBGene00009664","idha-1","F43G9.1, idha-1, CELE_F43G9.1",NA,NA,NA
"10003@E02","GHR-10003@E2","C03C10.3","WBGene00004392","rnr-2","C03C10.3, rnr-2, CELE_C03C10.3",NA,NA,NA
"10003@E05","GHR-10003@E5","F58A4.4","WBGene00004180","pri-1","F58A4.4, pri-1, CELE_F58A4.4","Emb",NA,"Emb"
"10003@E07","GHR-10003@E7","F53E4.1","WBGene00009978",NA,"F53E4.1, CELE_F53E4.1",NA,NA,NA
"10003@E08","GHR-10003@E8","Y57G11C.10","WBGene00001558","gdi-1","Y57G11C.10, gdi-1, CELE_Y57G11C.10",NA,NA,NA
"10003@E09","GHR-10003@E9","Y50E8A.4","WBGene00006795","unc-61","Y50E8A.4, unc-61, Y50E8A.d, CELE_Y50E8A.4",NA,NA,NA
"10003@E10","GHR-10003@E10","Y50D7A.4","WBGene00021754","hpo-29","Y50D7A.4, hpo-29, Y50D7A.f, Y50D7_164.a, CELE_Y50D7A.4",NA,NA,NA
"10003@E11","GHR-10003@E11","K07H8.1","WBGene00019503","tbce-1","K07H8.1, tbce-1, CELE_K07H8.1",NA,NA,NA
"10003@F01","GHR-10003@F1","C14B1.4","WBGene00006474","wdr-5.1","C14B1.4, wdr-5.1, swd-3.1, swd-3, tag-125, wdr-5, CELE_C14B1.4",NA,NA,NA
"10003@F02","GHR-10003@F2","F40G12.11","WBGene00009606",NA,"F40G12.11, CELE_F40G12.11",NA,NA,NA
"10003@F03","GHR-10003@F3","H18N23.2","WBGene00019211",NA,"H18N23.2, H18N23.a, CELE_H18N23.2",NA,NA,NA
"10003@F04","GHR-10003@F4","F39B2.10","WBGene00001030","dnj-12","F39B2.10, dnj-12, CELE_F39B2.10",NA,NA,NA
"10003@F05","GHR-10003@F5","K07A1.11","WBGene00004312","rba-1","K07A1.11, rba-1, CELE_K07A1.11","Emb",NA,"Emb"
"10003@F06","GHR-10003@F6","F56B6.4","WBGene00006863","gyg-1","F56B6.4, gyg-1, uvt-5, CELE_F56B6.4",NA,NA,NA
"10003@F07","GHR-10003@F7","C37C3.2","WBGene00016496",NA,"C37C3.2, phi-18, CELE_C37C3.2",NA,NA,NA
"10003@F08","GHR-10003@F8","F58A4.8","WBGene00006540","tbg-1","F58A4.8, tbg-1, TUBG, sas-3, CELE_F58A4.8","Emb/Ste",NA,"Emb/Ste"
"10003@F09","GHR-10003@F9","F58G6.1","WBGene00010272","amph-1","F58G6.1, amph-1, CELE_F58G6.1",NA,NA,NA
"10003@F11","GHR-10003@F11","F26E4.1","WBGene00006352","sur-6","F26E4.1, sur-6, CELE_F26E4.1",NA,NA,NA
"10003@G01","GHR-10003@G1","M03F4.2","WBGene00000066","act-4","M03F4.2, act-4, act4, CELE_M03F4.2",NA,NA,NA
"10003@G02","GHR-10003@G2","R07E5.3","WBGene00011111","snfc-5","R07E5.3, snfc-5, swsn-5, CELE_R07E5.3",NA,NA,NA
"10003@G03","GHR-10003@G3","F17C11.9","WBGene00008920","eef-1G","F17C11.9, eef-1G, CELE_F17C11.9",NA,NA,NA
"10003@G04","GHR-10003@G4","ZC328.4","WBGene00004721","san-1","ZC328.4, san-1, mdf-3, mad-3, CELE_ZC328.4",NA,NA,NA
"10003@G05","GHR-10003@G5","F55A11.2","WBGene00006373","syx-5","F55A11.2, syx-5, syn-3, CELE_F55A11.2",NA,NA,NA
"10003@G06","GHR-10003@G6","C07H6.5","WBGene00000479","cgh-1","C07H6.5, cgh-1, CELE_C07H6.5",NA,NA,NA
"10003@G07","GHR-10003@G7","F53A2.7","WBGene00009952","acaa-2","F53A2.7, acaa-2, CELE_F53A2.7",NA,NA,NA
"10003@G08","GHR-10003@G8","K01G5.5","WBGene00010478",NA,"K01G5.5, CELE_K01G5.5",NA,NA,NA
"10003@G09","GHR-10003@G9","C53A5.3","WBGene00001834","hda-1","C53A5.3, hda-1, gon-10, CELE_C53A5.3","Emb",NA,"Emb"
"10003@G11","GHR-10003@G11","F49B2.5","WBGene00005078","src-2","F49B2.5, src-2, kin-22, CELE_F49B2.5",NA,NA,NA
