"","RNAi.well","ORF","GeneID","public.name","gene.other.ids","Nonv","Vpep","Simmer"
"11031@D04","GHR-11031@D04","K01A2.7","WBGene00000645","col-69","K01A2.7, col-69, CELE_K01A2.7",NA,NA,NA
"11031@D05","GHR-11031@D05","Y48B6A.5","WBGene00012979",NA,"Y48B6A.5, CELE_Y48B6A.5",NA,NA,NA
"11031@D06","GHR-11031@D06","F45D11.1","WBGene00018448",NA,"F45D11.1, CELE_F45D11.1",NA,NA,NA
"11031@D07","GHR-11031@D07","R11F4.3","WBGene00020009",NA,"R11F4.3, CELE_R11F4.3",NA,NA,NA
"11031@D08","GHR-11031@D08","T25D3.3","WBGene00020797",NA,"T25D3.3, CELE_T25D3.3",NA,NA,NA
"11031@D09","GHR-11031@D09","C08H9.11","WBGene00007470","chil-5","C08H9.11, chil-5, CELE_C08H9.11",NA,NA,NA
"11031@D10","GHR-11031@D10","C40D2.2","WBGene00016555","math-20","C40D2.2, math-20, CELE_C40D2.2",NA,NA,NA
"11031@D11","GHR-11031@D11","ZK1320.8","WBGene00014257",NA,"Suppressed, ZK1320.8",NA,NA,NA
"11031@D12","GHR-11031@D12","F10E7.1","WBGene00017343",NA,"F10E7.1, CELE_F10E7.1",NA,NA,NA
"11031@E01","GHR-11031@E01","W07A12.4","WBGene00012322",NA,"W07A12.4, CELE_W07A12.4",NA,NA,NA
"11031@E02","GHR-11031@E02","C32B5.14","WBGene00016307","fbxc-18","C32B5.14, fbxc-18, CELE_C32B5.14",NA,NA,NA
"11031@E03","GHR-11031@E03","R03D7.5","WBGene00010991",NA,"R03D7.5, CELE_R03D7.5",NA,NA,NA
"11031@E04","GHR-11031@E04","F33G12.3","WBGene00018015",NA,"F33G12.3, CELE_F33G12.3",NA,NA,NA
"11031@E05","GHR-11031@E05","F10E7.10","WBGene00017351","cutl-5","F10E7.10, cutl-5, CELE_F10E7.10",NA,NA,NA
"11031@E06","GHR-11031@E06","B0491.1","WBGene00007189",NA,"B0491.1, CELE_B0491.1",NA,NA,NA
"11031@E07","GHR-11031@E07","DH11.4",NA,NA,NA,NA,NA,NA
"11031@E08","GHR-11031@E08","R09D1.5","WBGene00011161","chil-18","R09D1.5, chil-18, CELE_R09D1.5",NA,NA,NA
"11031@E09","GHR-11031@E09","C08H9.13","WBGene00007472","chil-7","C08H9.13, chil-7, CELE_C08H9.13",NA,NA,NA
"11031@E10","GHR-11031@E10","C06C3.8","WBGene00007378",NA,"C06C3.8, CELE_C06C3.8",NA,NA,NA
"11031@E11","GHR-11031@E11","C34C6.5","WBGene00007918","sphk-1","C34C6.5, sphk-1, tag-274, CELE_C34C6.5",NA,NA,NA
"11031@E12","GHR-11031@E12","Y48B6A.4","WBGene00001133","eat-2","Y48B6A.4, eat-2, Y51H7C.p, CELE_Y48B6A.4",NA,NA,NA
"11031@F01","GHR-11031@F01","K01C8.2","WBGene00010457",NA,"K01C8.2, CELE_K01C8.2",NA,NA,NA
"11031@F02","GHR-11031@F02","W07A12.6","WBGene00012323","oac-54","W07A12.6, oac-54, CELE_W07A12.6",NA,NA,NA
"11031@F03","GHR-11031@F03","F27E5.1","WBGene00009192",NA,"F27E5.1, CELE_F27E5.1",NA,NA,NA
"11031@F04","GHR-11031@F04","C32B5.1","WBGene00016295","fbxc-40","C32B5.1, fbxc-40, CELE_C32B5.1",NA,NA,NA
"11031@F05","GHR-11031@F05","C33F10.7","WBGene00016355","lact-5","C33F10.7, lact-5, CELE_C33F10.7",NA,NA,NA
"11031@F06","GHR-11031@F06","R06B9.1","WBGene00011052","arrd-11","R06B9.1, arrd-11, CELE_R06B9.1",NA,NA,NA
"11031@F07","GHR-11031@F07","C46F9.3","WBGene00016719","math-24","C46F9.3, math-24, CELE_C46F9.3",NA,NA,NA
"11031@F08","GHR-11031@F08","ZK20.1","WBGene00013923","ghi-1","ZK20.1, ghi-1, CELE_ZK20.1",NA,NA,NA
"11031@F09","GHR-11031@F09","Y47G7B.2","WBGene00021654",NA,"Y47G7B.2, CELE_Y47G7B.2",NA,NA,NA
"11031@F10","GHR-11031@F10","C08B11.8","WBGene00007435",NA,"C08B11.8, CELE_C08B11.8",NA,NA,NA
"11031@F11","GHR-11031@F11","Y54E2A.8","WBGene00013193",NA,"Y54E2A.8, CELE_Y54E2A.8",NA,NA,NA
"11031@F12","GHR-11031@F12","ZK1248.1","WBGene00022874","nep-25","ZK1248.1, nep-25, CELE_ZK1248.1",NA,NA,NA
"11031@G01","GHR-11031@G01","F41C3.11","WBGene00018275",NA,"F41C3.11, CELE_F41C3.11",NA,NA,NA
"11031@G02","GHR-11031@G02","C33F10.12","WBGene00016358",NA,"C33F10.12, CELE_C33F10.12",NA,NA,NA
"11031@G03","GHR-11031@G03","C08E3.9","WBGene00015601","fbxa-166","C08E3.9, fbxa-166, CELE_C08E3.9",NA,NA,NA
"11031@G04","GHR-11031@G04","K05F1.3","WBGene00019406","acdh-8","K05F1.3, acdh-8, CELE_K05F1.3",NA,NA,NA
"11031@G05","GHR-11031@G05","Y48C3A.4","WBGene00012988","ztf-22","Y48C3A.4, ztf-22, CELE_Y48C3A.4",NA,NA,NA
"11031@G06","GHR-11031@G06","T13B5.3","WBGene00020471","pho-14","T13B5.3, pho-14, CELE_T13B5.3",NA,NA,NA
"11031@G07","GHR-11031@G07","T21B10.4","WBGene00011886",NA,"T21B10.4, CELE_T21B10.4",NA,NA,NA
"11031@G08","GHR-11031@G08","C01B12.4","WBGene00015287","osta-1","C01B12.4, osta-1, CELE_C01B12.4",NA,NA,NA
"11031@G09","GHR-11031@G09","Y46G5A.13","WBGene00012904","tiar-2","Y46G5A.13, tiar-2, CELE_Y46G5A.13",NA,NA,NA
"11031@G10","GHR-11031@G10","F10B5.3","WBGene00008640",NA,"F10B5.3, CELE_F10B5.3",NA,NA,NA
"11031@G11","GHR-11031@G11","C08H9.1","WBGene00007462",NA,"C08H9.1, CELE_C08H9.1",NA,NA,NA
"11031@H01","GHR-11031@H01","R07C3.11","WBGene00019927","fbxc-24","R07C3.11, fbxc-24, CELE_R07C3.11",NA,NA,NA
"11031@H02","GHR-11031@H02","Y46G5A.28","WBGene00012916",NA,"Y46G5A.28, CELE_Y46G5A.28",NA,NA,NA
"11031@H03","GHR-11031@H03","Y9D1A.1","WBGene00021186",NA,"Y9D1A.1, CELE_Y9D1A.1",NA,NA,NA
"11031@H04","GHR-11031@H04","M05D6.7","WBGene00001523","gbh-2","M05D6.7, gbh-2, CELE_M05D6.7",NA,NA,NA
"11031@H06","GHR-11031@H06","C07D10.4","WBGene00003526","nas-7","C07D10.4, nas-7, CELE_C07D10.4",NA,NA,NA
"11031@H07","GHR-11031@H07","C08E3.8","WBGene00015600","fbxa-165","C08E3.8, fbxa-165, CELE_C08E3.8",NA,NA,NA
"11031@H08","GHR-11031@H08","Y57A10A.11","WBGene00004394","rol-1","Y57A10A.11, rol-1, CELE_Y57A10A.11",NA,NA,NA
"11031@H09","GHR-11031@H09","C04G6.4","WBGene00015454",NA,"C04G6.4, CELE_C04G6.4",NA,NA,NA
"11031@H10","GHR-11031@H10","H41C03.3","WBGene00019270",NA,"H41C03.3, CELE_H41C03.3",NA,NA,NA
"11031@H11","GHR-11031@H11","C18H9.5","WBGene00016003",NA,"C18H9.5, CELE_C18H9.5",NA,NA,NA
"11032@A01","GHR-11032@A01","F46F5.7","WBGene00018498",NA,"F46F5.7, CELE_F46F5.7",NA,NA,NA
"11032@A02","GHR-11032@A02","Y46G5A.21","WBGene00012911","acl-7","Y46G5A.21, acl-7, CELE_Y46G5A.21",NA,NA,NA
"11032@A03","GHR-11032@A03","C08H9.5","WBGene00003862","old-1","C08H9.5, old-1, tkr-1, CELE_C08H9.5",NA,NA,NA
"11032@A04","GHR-11032@A04","ZK892.3","WBGene00014127",NA,"ZK892.3, CELE_ZK892.3",NA,NA,NA
"11032@A05","GHR-11032@A05","Y46G5A.1","WBGene00012894","tbc-17","Y46G5A.1, tbc-17, spds, CELE_Y46G5A.1",NA,NA,NA
"11032@A06","GHR-11032@A06","Y57A10A.4","WBGene00013249",NA,"Y57A10A.4, CELE_Y57A10A.4",NA,NA,NA
"11032@A07","GHR-11032@A07","B0495.4","WBGene00003730","nhx-2","B0495.4, nhx-2, CELE_B0495.4",NA,NA,NA
"11032@A08","GHR-11032@A08","F22D3.6","WBGene00017702",NA,"F22D3.6, CELE_F22D3.6",NA,NA,NA
"11032@A09","GHR-11032@A09","T05C12.4","WBGene00011468",NA,"T05C12.4, CELE_T05C12.4",NA,NA,NA
"11032@A10","GHR-11032@A10","F54D12.3","WBGene00000008","aat-7","F54D12.3, aat-7, F54D12.f, CELE_F54D12.3",NA,NA,NA
"11032@A11","GHR-11032@A11","F53G2.1","WBGene00018766",NA,"F53G2.1, F59H5.d, CELE_F53G2.1",NA,NA,NA
"11032@A12","GHR-11032@A12","ZC239.7","WBGene00001541","gcy-15","ZC239.7, gcy-15, Y27F2A.a, Y27F2A.k, CELE_ZC239.7",NA,NA,NA
"11032@B01","GHR-11032@B01","T13H5.6","WBGene00011760",NA,"T13H5.6, CELE_T13H5.6",NA,NA,NA
"11032@B02","GHR-11032@B02","F35H8.7","WBGene00006938","wee-1.1","F35H8.7, wee-1.1, CELE_F35H8.7",NA,NA,NA
"11032@B03","GHR-11032@B03","T10B9.3","WBGene00011673","cyp-13A6","T10B9.3, cyp-13A6, CELE_T10B9.3",NA,NA,NA
"11032@B04","GHR-11032@B04","Y25C1A.1","WBGene00021288","clec-123","Y25C1A.1, clec-123, CELE_Y25C1A.1",NA,NA,NA
"11032@B05","GHR-11032@B05","C41C4.3","WBGene00008051","lron-4","C41C4.3, lron-4, CELE_C41C4.3",NA,NA,NA
"11032@B06","GHR-11032@B06","R06A4.3","WBGene00011048",NA,"Suppressed, R06A4.3",NA,NA,NA
"11032@B07","GHR-11032@B07","Y48C3A.5","WBGene00012989",NA,"Y48C3A.5, CELE_Y48C3A.5",NA,NA,NA
"11032@B08","GHR-11032@B08","C16A11.5","WBGene00015818",NA,"C16A11.5, CELE_C16A11.5",NA,NA,NA
"11032@B09","GHR-11032@B09","K07C10.1","WBGene00004227","ptr-13","K07C10.1, ptr-13, CELE_K07C10.1",NA,NA,NA
"11032@B10","GHR-11032@B10","F35D2.4","WBGene00018042","mks-3","F35D2.4, mks-3, CELE_F35D2.4",NA,NA,NA
